,username,first_name,last_name,Hw1,Hw2,Hw3,Hw4,Hw5,Exam1,Exam2,Exam3,Exam4,Grade,LetterGrade
0,no3732,Norma,Fisher,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,A
1,jo4264,Jorge,Sullivan,78.0,78.0,57.0,100.0,78.0,74.0,56.0,72.0,86.0,73.0,B
2,el5859,Elizabeth,Woods,88.0,0.0,82.0,73.0,98.0,97.0,0.0,63.0,68.0,59.0,C
3,su8891,Susan,Wagner,100.0,90.0,75.0,63.0,94.0,70.0,54.0,92.0,62.0,74.0,B
4,pe5373,Peter,Montgomery,100.0,83.0,72.0,87.0,72.0,68.0,78.0,78.0,88.0,79.0,B
5,th6874,Theodore,Mcgrath,52.0,100.0,35.0,67.0,94.0,63.0,40.0,100.0,78.0,70.0,B
6,st7744,Stephanie,Collins,88.0,69.0,62.0,53.0,98.0,42.0,70.0,88.0,80.0,70.0,B
7,st4468,Stephanie,Sutton,68.0,64.0,50.0,53.0,90.0,0.0,24.0,75.0,70.0,47.0,D
8,br1705,Brian,Hamilton,68.0,100.0,68.0,87.0,88.0,51.0,52.0,93.0,36.0,65.0,C
9,su3599,Susan,Levy,78.0,97.0,60.0,72.0,82.0,100.0,44.0,78.0,68.0,74.0,B
10,se3222,Sean,Green,72.0,100.0,78.0,73.0,76.0,93.0,22.0,65.0,60.0,65.0,C
11,ki8768,Kimberly,Smith,96.0,89.0,68.0,93.0,98.0,100.0,30.0,85.0,82.0,78.0,B
12,je3897,Jennifer,Summers,84.0,62.0,78.0,57.0,86.0,48.0,60.0,65.0,90.0,66.0,C
13,ap1537,April,Snyder,72.0,100.0,55.0,63.0,88.0,36.0,54.0,70.0,56.0,59.0,C
14,da7216,Dana,Nguyen,78.0,71.0,45.0,68.0,100.0,62.0,48.0,95.0,80.0,71.0,B
15,ch7921,Cheryl,Bradley,76.0,87.0,55.0,77.0,96.0,79.0,56.0,73.0,100.0,76.0,B
16,wa7036,Walter,Pratt,96.0,89.0,62.0,75.0,94.0,85.0,54.0,63.0,56.0,70.0,B
17,bo3163,Bobby,Flores,66.0,73.0,0.0,70.0,92.0,96.0,56.0,68.0,100.0,74.0,B
18,ta6072,Tasha,Rodriguez,76.0,84.0,100.0,73.0,100.0,81.0,70.0,90.0,52.0,78.0,B
19,mi5851,Michelle,Kelley,54.0,89.0,62.0,73.0,100.0,100.0,26.0,67.0,70.0,68.0,C
20,ki8877,Kimberly,Maynard,24.0,81.0,45.0,63.0,100.0,71.0,0.0,70.0,70.0,54.0,C
21,la3046,Laurie,Wallace,68.0,59.0,57.0,62.0,96.0,57.0,44.0,67.0,70.0,61.0,C
22,ja2871,Janice,Johnston,86.0,79.0,55.0,80.0,70.0,41.0,46.0,78.0,54.0,60.0,C
23,co8599,Collin,Lopez,56.0,95.0,70.0,60.0,92.0,57.0,46.0,70.0,58.0,62.0,C
24,ma3496,Mary,Alvarez,100.0,65.0,35.0,55.0,88.0,80.0,44.0,52.0,56.0,61.0,C
25,pe9291,Peter,Mcdowell,44.0,73.0,62.0,70.0,90.0,57.0,30.0,62.0,76.0,58.0,C
26,sa1755,Sarah,Villanueva,70.0,68.0,65.0,72.0,100.0,94.0,52.0,62.0,76.0,72.0,B
27,ki1797,Kimberly,Myers,66.0,100.0,68.0,0.0,62.0,100.0,76.0,93.0,100.0,84.0,A
28,de1659,Desiree,Cain,98.0,85.0,52.0,63.0,84.0,28.0,50.0,87.0,98.0,67.0,C
29,st4219,Stephanie,Lawrence,96.0,81.0,57.0,90.0,92.0,92.0,50.0,83.0,60.0,75.0,B
30,la9615,Lauren,Hayes,72.0,63.0,38.0,87.0,86.0,30.0,40.0,67.0,76.0,56.0,C
31,wh8456,Whitney,Stark,76.0,83.0,55.0,55.0,76.0,0.0,48.0,63.0,90.0,53.0,C
32,an4337,Angela,Salazar,54.0,65.0,52.0,88.0,98.0,99.0,58.0,67.0,70.0,73.0,B
33,mr3745,Mr.,Ryan Sanchez,34.0,75.0,70.0,55.0,92.0,76.0,44.0,60.0,68.0,62.0,C
34,au5735,Autumn,Robinson,54.0,65.0,42.0,30.0,80.0,49.0,42.0,100.0,72.0,63.0,C
35,fa9736,Faith,Cabrera,72.0,85.0,75.0,85.0,94.0,63.0,56.0,42.0,88.0,66.0,C
36,ch7687,Charles,Wolfe,92.0,84.0,88.0,45.0,98.0,70.0,36.0,83.0,54.0,66.0,C
37,ke1714,Kenneth,Kent,92.0,72.0,28.0,83.0,90.0,71.0,54.0,55.0,64.0,64.0,C
38,me3292,Melanie,Johnson,64.0,81.0,70.0,63.0,98.0,71.0,64.0,73.0,80.0,72.0,B
39,li9343,Lisa,Johnston,64.0,59.0,75.0,100.0,90.0,73.0,72.0,60.0,76.0,72.0,B
40,ja2207,Jacob,Hooper,52.0,53.0,52.0,93.0,86.0,79.0,48.0,57.0,74.0,65.0,C
41,al7172,Alex,Woodward,44.0,82.0,55.0,67.0,78.0,51.0,72.0,58.0,62.0,62.0,C
42,ca9994,Caleb,Clark,40.0,78.0,60.0,63.0,90.0,70.0,66.0,100.0,90.0,77.0,B
